feature1,feature2,label
12.3,45.7,0
67.5,39.8,1
23.1,31.2,0
59.9,51.0,1
44.3,30.5,0
55.2,49.3,1
62.0,38.1,1
20.1,29.7,0
77.2,35.6,1
42.9,18.4,0
61.5,47.8,1
28.2,33.1,0
36.7,39.9,0
89.0,20.2,1
47.5,56.4,1
60.6,40.5,1
15.3,28.6,0
84.5,27.1,1
53.2,50.3,1
66.8,34.1,1
19.5,24.7,0
58.3,45.2,1
33.1,30.0,0
71.6,32.7,1
41.0,44.1,0
64.3,50.0,1
38.0,28.5,0
80.4,36.6,1
22.1,25.0,0
46.7,52.2,1
40.3,38.9,0
69.9,41.2,1
73.5,30.0,1
51.3,46.1,1
26.0,27.9,0
39.2,35.4,0
60.4,42.6,1
85.1,24.5,1
31.7,26.3,0
43.5,40.2,0
66.2,45.3,1
57.1,43.2,1
36.0,29.1,0
30.6,32.8,0
82.4,21.5,1
70.1,36.4,1
27.8,23.4,0
61.9,39.3,1
45.6,49.0,1
50.5,41.0,1
54.7,37.5,1
37.9,33.8,0
