engine_size,horsepower,weight,acceleration,year,cylinders,mpg
1.8,140,2700,10.5,2010,4,31.5
2.0,160,2900,9.8,2012,4,29.8
2.5,175,3200,8.2,2013,6,27.2
3.0,200,3500,7.6,2015,6,25.1
3.5,250,3700,6.5,2016,6,23.3
1.6,130,2600,11.2,2009,4,32.6
2.4,170,3100,8.5,2011,4,28.4
2.2,155,3000,8.9,2012,4,28.7
3.6,280,3900,6.3,2017,6,22.4
5.0,420,4200,5.8,2018,8,18.1
1.4,120,2400,11.5,2008,4,34.3
2.0,160,2800,9.5,2010,4,30.7
2.2,165,2950,9.0,2011,4,29.6
2.7,190,3350,7.8,2013,6,26.0
3.2,210,3600,6.9,2014,6,24.4
3.8,300,4000,6.1,2016,6,21.7
4.6,390,4300,5.5,2018,8,17.6
5.7,450,4600,5.2,2019,8,16.3
1.5,125,2500,11.0,2007,4,33.8
2.1,150,2850,9.4,2009,4,30.5
2.6,180,3250,8.0,2011,6,27.3
3.1,220,3550,7.0,2013,6,24.8
4.0,310,4100,5.9,2015,8,20.5
1.3,110,2300,11.8,2006,4,35.0
1.9,145,2750,10.2,2008,4,31.2
2.8,195,3400,7.7,2010,6,26.8
3.3,225,3650,6.8,2012,6,24.2
4.2,320,4150,5.7,2014,8,19.9
5.2,430,4400,5.3,2016,8,17.0
1.7,135,2650,10.8,2009,4,32.0
2.3,160,2950,9.2,2011,4,29.4
2.9,200,3450,7.5,2013,6,26.1
3.4,230,3700,6.6,2014,6,23.9
4.5,350,4250,5.4,2016,8,18.3
1.2,105,2250,12.0,2005,4,36.1
2.0,155,2850,9.6,2007,4,30.9
2.7,185,3300,7.9,2009,6,27.5
3.5,240,3800,6.4,2011,6,23.1
4.8,400,4350,5.6,2013,8,18.0
5.5,460,4700,5.1,2015,8,15.8
1.9,142,2720,10.4,2008,4,31.7
2.5,178,3180,8.3,2010,6,28.0
3.0,205,3520,7.1,2012,6,25.3
3.7,290,3950,6.2,2014,6,22.2
4.9,410,4450,5.4,2016,8,17.2
1.6,132,2620,11.1,2007,4,33.2
2.2,158,2920,9.3,2009,4,30.0
2.6,185,3280,8.1,2011,6,27.1
3.2,215,3600,6.7,2013,6,24.6
4.3,330,4180,5.6,2015,8,19.5
1.1,100,2200,12.2,2004,4,36.8
1.8,148,2780,10.1,2006,4,32.3
2.9,198,3430,7.6,2008,6,26.4
3.6,285,3920,6.0,2010,6,21.9
5.1,425,4380,5.2,2012,8,16.8
